"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 06월 24일","31.245","30.855","32.446","28.678","-","1.26%"
"2021년 06월 23일","30.855","26.685","32.090","26.042","-","15.63%"
"2021년 06월 22일","26.685","26.601","28.233","20.472","-","0.32%"
"2021년 06월 21일","26.601","35.320","35.799","26.080","-","-24.69%"
"2021년 06월 20일","35.320","35.283","35.701","31.500","-","0.10%"
"2021년 06월 19일","35.283","36.650","37.062","35.097","-","-3.73%"
"2021년 06월 18일","36.650","38.824","39.216","35.515","-","-6.98%"
"2021년 06월 17일","39.400","39.334","41.317","38.472","-","0.17%"
"2021년 06월 16일","39.334","39.592","40.925","37.780","-","-0.65%"
"2021년 06월 15일","39.592","39.703","41.339","39.554","-","-0.28%"
"2021년 06월 14일","39.703","38.806","40.168","36.931","-","2.31%"
"2021년 06월 13일","38.806","36.402","39.180","35.316","-","6.60%"
"2021년 06월 12일","36.402","36.012","37.500","34.453","-","1.08%"
"2021년 06월 11일","36.012","41.124","41.124","35.500","-","-12.43%"
"2021년 06월 10일","41.124","42.041","42.901","39.869","-","-2.18%"
"2021년 06월 09일","42.041","41.340","43.864","39.668","-","1.70%"
"2021년 06월 08일","41.340","38.272","42.287","33.824","-","8.02%"
"2021년 06월 07일","38.272","42.209","43.910","38.272","-","-9.33%"
"2021년 06월 06일","42.209","39.559","43.208","39.092","-","6.70%"
"2021년 06월 05일","39.559","37.435","42.252","37.435","-","5.67%"
"2021년 06월 04일","37.435","39.461","39.461","34.661","-","-5.13%"
"2021년 06월 03일","39.461","34.009","40.993","34.009","-","16.03%"
"2021년 06월 02일","34.009","31.002","34.486","30.552","-","9.70%"
"2021년 06월 01일","31.002","32.724","32.741","30.246","-","-5.26%"
"2021년 05월 31일","32.724","28.519","32.812","27.000","-","14.74%"
"2021년 05월 30일","28.519","26.900","29.485","25.825","-","6.02%"
"2021년 05월 29일","26.900","29.087","29.677","25.873","-","-7.52%"
"2021년 05월 28일","29.087","33.517","34.075","28.513","-","-13.22%"
"2021년 05월 27일","33.517","35.500","35.500","31.526","-","-5.59%"
"2021년 05월 26일","35.500","29.944","36.311","29.450","-","18.55%"
"2021년 05월 25일","29.944","30.637","32.604","26.383","-","-2.26%"
"2021년 05월 24일","30.637","24.611","32.080","24.611","-","24.48%"
"2021년 05월 23일","24.611","23.700","25.854","19.800","-","-42.21%"
"2021년 04월 30일","42.586","42.614","42.614","42.586","-","-0.12%"
"2021년 04월 29일","42.637","44.970","45.365","41.762","-","-5.19%"
"2021년 04월 28일","44.970","43.253","46.245","41.448","-","3.97%"
"2021년 04월 27일","43.253","44.500","46.167","42.830","-","-2.80%"
"2021년 04월 26일","44.500","47.466","48.360","43.504","-","-6.25%"
"2021년 04월 25일","47.466","40.849","48.085","40.000","-","16.20%"
"2021년 04월 24일","40.849","36.006","42.060","35.135","-","13.45%"
"2021년 04월 23일","36.006","39.015","41.000","31.000","-","-7.71%"
"2021년 04월 22일","39.015","32.536","40.262","32.536","-","19.91%"
"2021년 04월 21일","32.536","31.752","34.819","30.549","-","2.47%"
"2021년 04월 20일","31.752","28.800","32.232","26.000","-","10.25%"
"2021년 04월 19일","28.800","28.300","35.497","28.300","-","1.77%"
"2021년 04월 18일","28.300","25.096","32.980","22.698","-","12.77%"
"2021년 04월 17일","25.096","25.342","26.497","25.096","-","-0.97%"
"2021년 04월 16일","25.342","27.001","27.891","25.096","-","-6.15%"
"2021년 04월 15일","27.001","26.465","27.626","25.400","-","2.03%"
"2021년 04월 14일","26.465","27.750","31.000","24.962","-","-4.63%"
"2021년 04월 13일","27.750","28.547","29.500","25.274","-","-2.79%"
"2021년 04월 12일","28.547","27.812","29.450","27.043","-","2.64%"
"2021년 04월 11일","27.812","26.790","28.471","25.726","-","3.81%"
"2021년 04월 10일","26.790","27.377","27.377","26.046","-","-3.37%"
"2021년 04월 08일","27.723","26.478","29.000","23.500","-","4.70%"
"2021년 04월 07일","26.478","24.971","27.304","23.364","-","6.04%"
"2021년 04월 06일","24.971","22.957","24.994","21.913","-","8.77%"
"2021년 04월 05일","22.957","23.876","24.463","22.906","-","-3.85%"
"2021년 04월 04일","23.876","22.466","25.308","22.278","-","6.28%"
"2021년 04월 03일","22.466","19.749","23.397","19.749","-","13.75%"
"2021년 04월 02일","19.749","19.070","19.749","18.612","-","3.56%"
"2021년 04월 01일","19.070","19.437","20.600","18.660","-","-1.89%"
"2021년 03월 31일","19.437","19.156","19.677","18.534","-","1.47%"
"2021년 03월 30일","19.156","18.878","21.400","18.878","-","1.47%"
"2021년 03월 29일","18.878","18.220","18.909","17.715","-","3.61%"
"2021년 03월 28일","18.220","16.506","24.400","16.347","-","10.38%"
"2021년 03월 27일","16.506","14.750","16.527","14.750","-","11.91%"
"2021년 03월 26일","14.750","12.988","14.750","12.422","-","13.56%"
"2021년 03월 25일","12.988","13.629","13.629","12.679","-","-4.70%"
"2021년 03월 24일","13.629","14.184","15.257","13.628","-","-3.98%"
"2021년 03월 23일","14.193","14.888","15.194","14.193","-","-4.67%"
"2021년 03월 22일","14.888","14.180","16.540","14.180","-","5.00%"
"2021년 03월 21일","14.180","14.270","14.300","13.714","-","-0.63%"
"2021년 03월 20일","14.270","14.287","14.838","14.202","-","-0.12%"
"2021년 03월 19일","14.287","14.328","14.437","14.034","-","-0.28%"
"2021년 03월 18일","14.328","13.990","14.703","13.990","-","2.41%"
"2021년 03월 17일","13.990","13.805","14.200","13.367","-","1.34%"
"2021년 03월 16일","13.805","14.280","14.280","13.300","-","-3.33%"
"2021년 03월 15일","14.280","14.555","14.700","13.808","-","-1.89%"
"2021년 03월 14일","14.555","15.370","15.370","14.380","-","-5.31%"
"2021년 03월 13일","15.370","14.552","15.370","13.896","-","5.62%"
"2021년 03월 12일","14.552","15.987","16.454","14.360","-","-8.98%"
"2021년 03월 11일","15.987","14.235","16.339","13.740","-","12.31%"
"2021년 03월 10일","14.235","14.860","14.860","14.134","-","-4.21%"
"2021년 03월 09일","14.860","13.598","14.973","13.361","-","9.29%"
"2021년 03월 08일","13.598","13.791","13.837","13.072","-","-1.40%"
"2021년 03월 07일","13.791","12.924","13.949","12.717","-","6.71%"
"2021년 03월 06일","12.924","12.572","13.162","11.990","-","2.80%"
"2021년 03월 05일","12.572","13.112","13.112","12.218","-","-4.12%"
"2021년 03월 04일","13.112","14.131","14.142","12.806","-","-7.21%"
"2021년 03월 03일","14.131","13.975","14.562","13.846","-","1.12%"
"2021년 03월 02일","13.974","14.983","15.182","13.522","-","-6.73%"
"2021년 03월 01일","14.983","13.063","15.378","13.063","-","14.70%"
"2021년 02월 28일","13.063","13.215","13.658","11.572","-","-1.15%"
"2021년 02월 27일","13.215","13.576","14.450","13.157","-","-2.66%"
"2021년 02월 26일","13.576","14.000","15.352","13.368","-","-3.03%"
"2021년 02월 25일","14.000","17.167","17.616","14.000","-","-18.45%"
"2021년 02월 24일","17.167","15.089","20.000","14.000","-","13.77%"
"2021년 02월 23일","15.089","14.512","16.110","12.003","-","3.97%"
"2021년 02월 22일","14.512","11.074","14.512","9.780","-","31.05%"
"2021년 02월 21일","11.074","10.005","11.495","10.005","-","10.68%"
"2021년 02월 20일","10.005","11.444","11.444","9.924","-","-12.57%"
"2021년 02월 19일","11.444","8.984","11.499","8.644","-","27.38%"
"2021년 02월 18일","8.984","8.236","9.170","8.236","-","9.09%"
"2021년 02월 17일","8.236","8.300","8.410","7.634","-","-0.77%"
"2021년 02월 16일","8.300","8.846","8.899","8.081","-","-6.17%"
"2021년 02월 15일","8.846","8.735","9.290","7.904","-","1.27%"
"2021년 02월 14일","8.735","8.669","9.116","8.604","-","0.76%"
"2021년 02월 13일","8.669","9.210","9.488","8.669","-","-5.87%"
"2021년 02월 12일","9.210","9.185","9.914","9.080","-","0.27%"
"2021년 02월 11일","9.185","8.950","10.100","8.875","-","2.63%"
"2021년 02월 10일","8.950","7.836","9.060","7.557","-","14.21%"
"2021년 02월 09일","7.836","7.879","8.444","7.654","-","-0.54%"
"2021년 02월 08일","7.879","6.704","8.039","6.498","-","17.53%"
"2021년 02월 07일","6.704","6.120","6.846","5.817","-","9.54%"
"2021년 02월 06일","6.120","6.500","6.890","5.788","-","-5.85%"
"2021년 02월 05일","6.500","6.421","7.077","4.848","-","1.25%"
"2021년 02월 04일","6.420","5.722","6.511","5.610","-","12.26%"
"2021년 02월 03일","5.719","5.257","5.770","5.097","-","8.77%"
"2021년 02월 02일","5.257","4.622","5.335","4.489","-","13.75%"
"2021년 02월 01일","4.622","4.268","4.622","4.128","-","8.29%"
"2021년 01월 31일","4.268","4.232","4.781","4.197","-","0.86%"
"2021년 01월 30일","4.232","3.842","4.271","3.797","-","10.15%"
"2021년 01월 29일","3.842","3.819","3.871","3.638","-","0.60%"
"2021년 01월 28일","3.819","3.688","3.907","3.620","-","3.54%"
"2021년 01월 27일","3.688","4.037","4.037","3.652","-","-8.64%"
"2021년 01월 26일","4.037","3.720","4.062","3.714","-","8.53%"
"2021년 01월 25일","3.720","3.624","3.953","3.473","-","2.64%"
"2021년 01월 24일","3.624","3.501","3.780","3.501","-","3.51%"
"2021년 01월 23일","3.501","3.339","3.583","3.328","-","4.85%"
"2021년 01월 22일","3.339","2.985","3.485","2.661","-","11.87%"
"2021년 01월 21일","2.985","3.723","3.723","2.985","-","-19.83%"
"2021년 01월 20일","3.723","3.647","3.726","3.382","-","2.08%"
"2021년 01월 19일","3.647","3.784","3.996","3.622","-","-3.62%"
"2021년 01월 18일","3.784","3.827","4.111","3.020","-","-1.13%"
"2021년 01월 17일","3.827","3.449","3.963","3.362","-","10.99%"
"2021년 01월 16일","3.449","3.300","3.680","3.300","-","4.50%"
"2021년 01월 15일","3.300","3.284","3.425","3.000","-","0.48%"
"2021년 01월 14일","3.284","3.517","3.543","3.208","-","-6.63%"
"2021년 01월 13일","3.517","3.631","3.631","3.313","-","-3.14%"
"2021년 01월 12일","3.631","3.107","3.831","3.088","-","16.88%"
"2021년 01월 11일","3.107","3.053","3.154","2.616","-","1.77%"
"2021년 01월 10일","3.053","3.000","3.700","3.000","-","1.76%"
"2021년 01월 09일","3.000","3.889","3.889","2.900","-","-22.85%"
"2021년 01월 08일","3.889","2.359","3.889","2.184","-","64.83%"
"2021년 01월 07일","2.359","1.934","2.412","1.934","-","22.00%"
"2021년 01월 06일","1.934","2.155","2.165","1.934","-","-10.29%"
"2021년 01월 05일","2.155","2.489","2.489","2.093","-","-13.39%"
"2021년 01월 04일","2.489","2.161","2.489","1.945","-","15.18%"
"2021년 01월 03일","2.161","1.796","2.295","1.796","-","20.27%"
"2021년 01월 02일","1.796","1.837","1.986","1.733","-","-2.22%"
"2021년 01월 01일","1.837","1.514","1.837","1.507","-","21.34%"
"2020년 12월 31일","1.514","1.534","1.546","1.437","-","-1.30%"
"2020년 12월 30일","1.534","1.673","1.673","1.534","-","-8.30%"
"2020년 12월 29일","1.673","1.515","1.700","1.445","-","10.40%"
"2020년 12월 28일","1.515","1.306","1.515","1.306","-","16.04%"
"2020년 12월 27일","1.306","1.326","1.385","1.286","-","-1.49%"
"2020년 12월 26일","1.326","1.443","1.444","1.321","-","-8.12%"
"2020년 12월 25일","1.443","1.358","1.447","1.352","-","6.23%"
"2020년 12월 24일","1.358","1.199","1.380","1.199","-","13.25%"
"2020년 12월 23일","1.199","1.493","1.501","1.139","-","-19.71%"
"2020년 12월 22일","1.493","1.540","1.569","1.480","-","-3.01%"
"2020년 12월 21일","1.540","1.564","1.614","1.430","-","-1.56%"
"2020년 12월 20일","1.564","1.667","1.681","1.541","-","-6.17%"
"2020년 12월 19일","1.667","1.696","1.754","1.667","-","-1.68%"
"2020년 12월 18일","1.696","1.676","1.700","1.647","-","1.17%"
"2020년 12월 17일","1.676","1.785","1.791","1.664","-","-6.11%"
"2020년 12월 16일","1.785","1.755","1.785","1.636","-","1.68%"
"2020년 12월 15일","1.755","1.594","1.785","1.592","-","10.13%"
"2020년 12월 14일","1.594","1.566","1.614","1.528","-","1.78%"
"2020년 12월 13일","1.566","1.499","1.639","1.468","-","4.45%"
"2020년 12월 12일","1.499","1.449","1.533","1.449","-","3.46%"
"2020년 12월 11일","1.449","1.580","1.580","1.449","-","-8.25%"
"2020년 12월 10일","1.580","1.666","1.666","1.556","-","-5.17%"
"2020년 12월 09일","1.666","1.682","1.682","1.532","-","-0.95%"
"2020년 12월 08일","1.682","1.827","1.827","1.675","-","-7.95%"
"2020년 12월 07일","1.827","1.850","1.892","1.818","-","-1.25%"
"2020년 12월 06일","1.850","1.974","1.977","1.820","-","-6.26%"
"2020년 12월 05일","1.974","1.857","1.974","1.847","-","6.25%"
"2020년 12월 04일","1.857","2.096","2.108","1.857","-","-11.37%"
"2020년 12월 03일","2.096","2.116","2.210","2.082","-","-0.94%"
"2020년 12월 02일","2.116","1.978","2.168","1.972","-","6.98%"
"2020년 12월 01일","1.978","1.967","2.131","1.943","-","0.57%"
"2020년 11월 30일","1.967","1.909","1.999","1.909","-","3.03%"
"2020년 11월 29일","1.909","1.888","1.939","1.862","-","1.09%"
"2020년 11월 28일","1.888","1.857","1.928","1.811","-","1.66%"
"2020년 11월 27일","1.857","1.901","1.960","1.790","-","-2.30%"
"2020년 11월 26일","1.901","2.274","2.290","1.747","-","-16.39%"
"2020년 11월 25일","2.274","2.276","2.482","2.202","-","-0.10%"
"2020년 11월 24일","2.276","2.274","2.437","2.172","-","0.07%"
"2020년 11월 23일","2.274","2.157","2.341","2.129","-","5.44%"
"2020년 11월 22일","2.157","2.393","2.393","2.108","-","-9.85%"
"2020년 11월 21일","2.393","2.104","2.495","2.050","-","13.74%"
"2020년 11월 20일","2.104","2.073","2.221","2.061","-","1.50%"
"2020년 11월 19일","2.073","2.124","2.174","2.029","-","-2.40%"
"2020년 11월 18일","2.124","2.203","2.204","2.031","-","-3.59%"
"2020년 11월 17일","2.203","2.255","2.313","2.142","-","-2.31%"
"2020년 11월 16일","2.255","2.033","2.345","2.008","-","10.93%"
"2020년 11월 15일","2.033","1.928","2.188","1.928","-","5.43%"
"2020년 11월 14일","1.928","2.019","2.024","1.893","-","-4.53%"
"2020년 11월 13일","2.019","1.895","2.042","1.895","-","6.58%"
"2020년 11월 12일","1.895","2.002","2.049","1.842","-","-5.34%"
"2020년 11월 11일","2.002","2.261","2.287","2.002","-","-11.45%"
"2020년 11월 10일","2.261","2.025","2.306","2.019","-","11.61%"
"2020년 11월 09일","2.025","2.152","2.175","1.988","-","-5.89%"
"2020년 11월 08일","2.152","2.505","2.510","1.551","-","-14.08%"
"2020년 11월 07일","2.505","1.911","2.505","1.911","-","31.05%"
"2020년 11월 06일","1.911","1.400","1.921","1.400","-","36.50%"
"2020년 11월 05일","1.400","1.397","1.471","1.311","-","0.21%"
"2020년 11월 04일","1.397","1.418","1.418","1.298","-","-1.46%"
"2020년 11월 03일","1.418","1.481","1.481","1.418","-","-4.26%"
"2020년 11월 02일","1.481","1.604","1.632","1.475","-","-7.64%"
"2020년 11월 01일","1.604","1.545","1.635","1.526","-","3.78%"
"2020년 10월 31일","1.545","1.429","1.548","1.429","-","8.12%"
"2020년 10월 30일","1.429","1.427","1.445","1.353","-","0.12%"
"2020년 10월 29일","1.427","1.512","1.565","1.426","-","-5.57%"
"2020년 10월 28일","1.512","1.712","1.715","1.475","-","-11.72%"
"2020년 10월 27일","1.712","1.692","1.739","1.623","-","1.21%"
"2020년 10월 26일","1.692","1.787","1.857","1.635","-","-5.33%"
"2020년 10월 25일","1.787","1.914","1.914","1.775","-","-6.62%"
"2020년 10월 24일","1.914","1.956","1.959","1.894","-","-2.16%"
"2020년 10월 23일","1.956","1.954","1.982","1.863","-","0.10%"
"2020년 10월 22일","1.954","1.891","2.078","1.891","-","3.34%"
"2020년 10월 21일","1.891","1.890","2.030","1.863","-","0.08%"
"2020년 10월 20일","1.890","2.057","2.094","1.863","-","-8.16%"
"2020년 10월 19일","2.057","2.203","2.203","2.056","-","-6.60%"
"2020년 10월 18일","2.203","2.196","2.246","2.187","-","0.31%"
"2020년 10월 17일","2.196","2.148","2.231","2.142","-","2.25%"
"2020년 10월 16일","2.148","2.275","2.275","2.130","-","-5.61%"
"2020년 10월 15일","2.275","2.309","2.333","2.226","-","-1.49%"
"2020년 10월 14일","2.309","2.404","2.432","2.251","-","-3.94%"
"2020년 10월 13일","2.404","2.581","2.581","2.354","-","-6.84%"
"2020년 10월 12일","2.581","2.417","2.679","2.417","-","6.78%"
"2020년 10월 11일","2.417","2.405","2.448","2.351","-","0.50%"
"2020년 10월 10일","2.405","2.546","2.596","2.405","-","-5.52%"
"2020년 10월 09일","2.546","2.365","2.602","2.321","-","7.65%"
"2020년 10월 08일","2.365","2.292","2.435","2.036","-","3.20%"
"2020년 10월 07일","2.292","2.166","2.329","2.108","-","5.78%"
"2020년 10월 06일","2.166","2.659","2.659","2.157","-","-18.51%"
"2020년 10월 05일","2.659","2.517","2.667","2.475","-","5.60%"
"2020년 10월 04일","2.517","2.554","2.575","2.432","-","-1.41%"
"2020년 10월 03일","2.554","2.619","2.658","2.554","-","-2.50%"
"2020년 10월 02일","2.619","2.859","2.859","2.464","-","-8.38%"
"2020년 10월 01일","2.859","2.889","2.976","2.688","-","-1.04%"
"2020년 09월 30일","2.889","2.952","2.985","2.845","-","-2.14%"
"2020년 09월 29일","2.952","2.945","3.006","2.906","-","0.24%"
"2020년 09월 28일","2.945","3.159","3.172","2.945","-","-6.78%"
"2020년 09월 27일","3.159","3.129","3.159","3.011","-","0.96%"
"2020년 09월 26일","3.129","3.194","3.202","3.053","-","-2.05%"
"2020년 09월 25일","3.194","3.142","3.237","2.916","-","1.68%"
"2020년 09월 24일","3.142","2.842","3.235","2.815","-","10.56%"
"2020년 09월 23일","2.842","2.926","3.036","2.786","-","-2.90%"
"2020년 09월 22일","2.926","2.776","2.971","2.757","-","5.41%"
"2020년 09월 21일","2.776","2.877","3.001","2.490","-","-3.51%"
"2020년 09월 20일","2.877","3.017","3.017","2.712","-","-4.62%"
"2020년 09월 19일","3.017","3.100","3.243","2.972","-","-2.70%"
"2020년 09월 18일","3.100","2.894","3.136","2.763","-","7.14%"
"2020년 09월 17일","2.894","2.550","2.925","2.459","-","13.49%"
"2020년 09월 16일","2.550","2.926","2.926","2.449","-","-12.86%"
"2020년 09월 15일","2.926","3.272","3.303","2.922","-","-10.57%"
"2020년 09월 14일","3.272","3.245","3.442","3.106","-","0.82%"
"2020년 09월 13일","3.245","3.336","3.361","3.032","-","-2.72%"
"2020년 09월 12일","3.336","3.428","3.449","3.160","-","-2.68%"
"2020년 09월 11일","3.428","3.461","3.487","3.053","-","-0.94%"
"2020년 09월 10일","3.461","3.614","3.843","3.314","-","-4.25%"
"2020년 09월 09일","3.614","2.476","3.674","2.391","-","45.98%"
"2020년 09월 08일","2.476","2.921","2.925","2.409","-","-15.23%"
"2020년 09월 07일","2.921","3.068","3.150","2.417","-","-4.79%"
"2020년 09월 06일","3.068","2.538","3.140","2.333","-","20.89%"
"2020년 09월 05일","2.538","3.544","3.624","2.408","-","-28.40%"
"2020년 09월 04일","3.544","3.526","3.782","3.194","-","0.53%"
"2020년 09월 03일","3.526","4.151","4.312","3.526","-","-15.06%"
"2020년 09월 02일","4.151","4.327","4.355","3.826","-","-4.08%"
"2020년 09월 01일","4.327","4.758","4.934","4.327","-","-9.06%"
"2020년 08월 31일","4.758","4.439","4.843","4.158","-","7.20%"
"2020년 08월 30일","4.439","3.979","4.575","3.925","-","11.55%"
"2020년 08월 29일","3.979","4.008","4.079","3.802","-","-0.71%"
"2020년 08월 28일","4.008","3.442","4.234","3.442","-","16.44%"
"2020년 08월 27일","3.442","3.563","3.796","3.336","-","-3.39%"
"2020년 08월 26일","3.563","3.265","3.784","3.199","-","9.10%"
"2020년 08월 25일","3.265","3.310","3.312","3.064","-","-1.34%"
"2020년 08월 24일","3.310","3.312","3.585","3.246","-","-0.07%"
"2020년 08월 23일","3.312","3.060","3.379","3.059","-","8.23%"
"2020년 08월 22일","3.060","2.940","3.184","2.717","-","4.09%"
"2020년 08월 21일","2.940","3.184","3.184","2.940","-","-7.66%"
"2020년 08월 20일","3.184","2.942","3.377","2.939","-","8.20%"
"2020년 08월 19일","2.942","3.378","3.445","2.883","-","-12.90%"
"2020년 08월 18일","3.378","3.121","3.585","2.900","-","8.26%"
"2020년 08월 17일","3.121","3.378","3.378","3.121","-","-7.63%"
"2020년 08월 16일","3.378","3.179","3.445","3.179","-","6.26%"
"2020년 08월 15일","3.179","3.377","3.655","3.179","-","-5.87%"
"2020년 08월 14일","3.377","3.728","3.729","3.377","-","-9.40%"
"2020년 08월 13일","3.728","3.728","4.120","3.585","-","0.00%"
"2020년 08월 12일","3.728","3.445","3.880","3.183","-","8.21%"
"2020년 08월 11일","3.445","3.184","3.445","2.772","-","8.21%"
"2020년 08월 10일","3.184","2.706","3.313","2.500","-","17.67%"
"2020년 08월 09일","2.706","2.500","2.706","2.310","-","8.22%"
"2020년 08월 08일","2.500","2.051","2.601","2.012","-","21.93%"
"2020년 08월 07일","2.051","2.178","2.178","1.895","-","-5.83%"
"2020년 08월 06일","2.178","1.784","2.178","1.783","-","22.08%"
"2020년 08월 05일","1.784","1.896","1.896","1.783","-","-5.92%"
"2020년 08월 04일","1.896","1.786","1.933","1.786","-","6.14%"
"2020년 08월 03일","1.786","1.716","1.830","1.682","-","4.08%"
"2020년 08월 02일","1.716","1.617","1.717","1.436","-","6.13%"
"2020년 08월 01일","1.617","1.555","1.649","1.495","-","3.97%"
"2020년 07월 31일","1.555","1.670","1.670","1.554","-","-6.85%"
"2020년 07월 30일","1.670","1.649","1.785","1.649","-","1.21%"
"2020년 07월 29일","1.650","1.787","2.051","1.618","-","-7.67%"
"2020년 07월 28일","1.787","1.731","1.821","1.630","-","3.24%"
"2020년 07월 27일","1.731","1.610","2.067","1.610","-","7.49%"
"2020년 07월 26일","1.610","1.274","1.610","1.249","-","26.34%"
"2020년 07월 25일","1.274","0.986","1.379","0.986","-","22.02%"
"2020년 07월 23일","1.044","1.046","1.087","1.005","-","-0.14%"
"2020년 07월 22일","1.046","1.004","1.087","1.003","-","4.17%"
"2020년 07월 21일","1.004","0.874","1.005","0.874","-","-27.41%"
"2020년 07월 15일","1.383","1.115","1.384","1.115","-","24.00%"
"2020년 07월 14일","1.115","1.279","1.279","1.114","-","-12.78%"
"2020년 07월 13일","1.279","1.009","1.279","1.009","-","26.71%"